,Country,Region,Year,Rank,Score,Economy,Family,Health,Freedom,Generosity,Corruption
152,Afghanistan,Southern Asia,2015,153,3.575,0.31982,0.30285,0.30335,0.23414,0.3651,0.09719
153,Afghanistan,Southern Asia,2016,154,3.36,0.38227,0.11037,0.17344,0.1643,0.31268,0.07112
140,Afghanistan,Southern Asia,2017,141,3.79399991035461,0.401477217674255,0.581543326377869,0.180746778845787,0.106179520487785,0.311870932579041,0.0611578300595284
144,Afghanistan,Southern Asia,2018,145,3.632,0.332,0.537,0.255,0.085,0.191,0.036
153,Afghanistan,Southern Asia,2019,154,3.203,0.35,0.517,0.361,0.0,0.158,0.025
94,Albania,Central and Eastern Europe,2015,95,4.959,0.87867,0.80434,0.81325,0.35733,0.14272,0.06413
108,Albania,Central and Eastern Europe,2016,109,4.655,0.9553,0.50163,0.73007,0.31866,0.1684,0.05301
108,Albania,Central and Eastern Europe,2017,109,4.64400005340576,0.996192753314972,0.803685247898102,0.731159746646881,0.381498634815216,0.201312944293022,0.0398642159998417
111,Albania,Central and Eastern Europe,2018,112,4.586,0.916,0.817,0.79,0.419,0.149,0.032
106,Albania,Central and Eastern Europe,2019,107,4.719,0.947,0.848,0.874,0.383,0.178,0.027
67,Algeria,Middle East and Northern Africa,2015,68,5.605,0.93929,1.07772,0.61766,0.28579,0.07822,0.17383
37,Algeria,Middle East and Northern Africa,2016,38,6.355,1.05266,0.83309,0.61804,0.21006,0.07044,0.16157
52,Algeria,Middle East and Northern Africa,2017,53,5.87200021743774,1.09186446666718,1.1462174654007,0.617584645748138,0.233335807919502,0.0694366469979286,0.146096110343933
83,Algeria,Middle East and Northern Africa,2018,84,5.295,0.979,1.154,0.687,0.077,0.055,0.135
87,Algeria,Middle East and Northern Africa,2019,88,5.211,1.002,1.16,0.785,0.086,0.073,0.114
136,Angola,Sub-Saharan Africa,2015,137,4.033,0.75778,0.8604,0.16683,0.10384,0.12344,0.07122
140,Angola,Sub-Saharan Africa,2016,141,3.866,0.84731,0.66366,0.04991,0.00589,0.12071,0.08434
139,Angola,Sub-Saharan Africa,2017,140,3.79500007629395,0.858428180217743,1.10441195964813,0.0498686656355858,0.0,0.097926490008831,0.0697203353047371
141,Angola,Sub-Saharan Africa,2018,142,3.795,0.73,1.125,0.269,0.0,0.079,0.061
29,Argentina,Latin America and Caribbean,2015,30,6.574,1.05351,1.24823,0.78723,0.44974,0.11451,0.08484
25,Argentina,Latin America and Caribbean,2016,26,6.65,1.15137,1.06612,0.69711,0.42284,0.10989,0.07296
23,Argentina,Latin America and Caribbean,2017,24,6.59899997711182,1.18529546260834,1.44045114517212,0.695137083530426,0.494519203901291,0.109457060694695,0.059739887714386
28,Argentina,Latin America and Caribbean,2018,29,6.388,1.073,1.468,0.744,0.57,0.062,0.054
46,Argentina,Latin America and Caribbean,2019,47,6.086,1.092,1.432,0.881,0.471,0.066,0.05
126,Armenia,Central and Eastern Europe,2015,127,4.35,0.76821,0.77711,0.7299,0.19847,0.07855,0.039
120,Armenia,Central and Eastern Europe,2016,121,4.36,0.86086,0.62477,0.64083,0.14037,0.07793,0.03616
120,Armenia,Central and Eastern Europe,2017,121,4.37599992752075,0.900596737861633,1.00748372077942,0.637524425983429,0.198303267359734,0.0834880918264389,0.0266744215041399
128,Armenia,Central and Eastern Europe,2018,129,4.321,0.816,0.99,0.666,0.26,0.077,0.028
115,Armenia,Central and Eastern Europe,2019,116,4.559,0.85,1.055,0.815,0.283,0.095,0.064
9,Australia,Australia and New Zealand,2015,10,7.284,1.33358,1.30923,0.93156,0.65124,0.43562,0.35637
8,Australia,Australia and New Zealand,2016,9,7.313,1.44443,1.10476,0.8512,0.56837,0.47407,0.32331
9,Australia,Australia and New Zealand,2017,10,7.28399991989136,1.484414935112,1.51004195213318,0.84388679265976,0.601607382297516,0.477699249982834,0.301183730363846
9,Australia,Australia and New Zealand,2018,10,7.272,1.34,1.573,0.91,0.647,0.361,0.302
10,Australia,Australia and New Zealand,2019,11,7.228,1.372,1.548,1.036,0.557,0.332,0.29
12,Austria,Western Europe,2015,13,7.2,1.33723,1.29704,0.89042,0.62433,0.33088,0.18676
11,Austria,Western Europe,2016,12,7.119,1.45038,1.08383,0.80565,0.54355,0.32865,0.21348
12,Austria,Western Europe,2017,13,7.00600004196167,1.48709726333618,1.4599449634552,0.815328419208527,0.567766189575195,0.316472321748734,0.221060365438461
11,Austria,Western Europe,2018,12,7.139,1.341,1.504,0.891,0.617,0.242,0.224
9,Austria,Western Europe,2019,10,7.246,1.376,1.475,1.016,0.532,0.244,0.226
79,Azerbaijan,Central and Eastern Europe,2015,80,5.212,1.02389,0.93793,0.64045,0.3703,0.07799,0.16065
80,Azerbaijan,Central and Eastern Europe,2016,81,5.291,1.12373,0.76042,0.54504,0.35327,0.0564,0.17914
84,Azerbaijan,Central and Eastern Europe,2017,85,5.23400020599365,1.15360176563263,1.15240025520325,0.540775775909424,0.398155838251114,0.0452693402767181,0.180987507104874
86,Azerbaijan,Central and Eastern Europe,2018,87,5.201,1.024,1.161,0.603,0.43,0.031,0.176
89,Azerbaijan,Central and Eastern Europe,2019,90,5.208,1.043,1.147,0.769,0.351,0.035,0.182
48,Bahrain,Middle East and Northern Africa,2015,49,5.96,1.32376,1.21624,0.74716,0.45492,0.17362,0.306
41,Bahrain,Middle East and Northern Africa,2016,42,6.218,1.44024,0.94397,0.65696,0.47375,0.17147,0.25772
40,Bahrain,Middle East and Northern Africa,2017,41,6.08699989318848,1.48841226100922,1.32311046123505,0.653133034706116,0.536746919155121,0.172668486833572,0.257042169570923
42,Bahrain,Middle East and Northern Africa,2018,43,6.105,1.338,1.366,0.698,0.594,0.243,0.123
36,Bahrain,Middle East and Northern Africa,2019,37,6.199,1.362,1.368,0.871,0.536,0.255,0.11
108,Bangladesh,Southern Asia,2015,109,4.694,0.39753,0.43106,0.60164,0.4082,0.21222,0.12569
109,Bangladesh,Southern Asia,2016,110,4.643,0.54177,0.24749,0.52989,0.39778,0.19132,0.12583
109,Bangladesh,Southern Asia,2017,110,4.60799980163574,0.586682975292206,0.735131740570068,0.533241033554077,0.478356659412384,0.172255352139473,0.123717859387398
114,Bangladesh,Southern Asia,2018,115,4.5,0.532,0.85,0.579,0.58,0.153,0.144
124,Bangladesh,Southern Asia,2019,125,4.456,0.562,0.928,0.723,0.527,0.166,0.143
58,Belarus,Central and Eastern Europe,2015,59,5.813,1.03192,1.23289,0.73608,0.37938,0.11046,0.1909
60,Belarus,Central and Eastern Europe,2016,61,5.802,1.13062,1.04993,0.63104,0.29091,0.13942,0.17457
66,Belarus,Central and Eastern Europe,2017,67,5.56899976730347,1.15655755996704,1.44494521617889,0.637714266777039,0.295400261878967,0.15513750910759,0.156313821673393
72,Belarus,Central and Eastern Europe,2018,73,5.483,1.039,1.498,0.7,0.307,0.101,0.154
80,Belarus,Central and Eastern Europe,2019,81,5.323,1.067,1.465,0.789,0.235,0.094,0.142
18,Belgium,Western Europe,2015,19,6.937,1.30782,1.28566,0.89667,0.5845,0.2225,0.2254
17,Belgium,Western Europe,2016,18,6.929,1.42539,1.05249,0.81959,0.51354,0.2424,0.26248
16,Belgium,Western Europe,2017,17,6.89099979400635,1.46378076076508,1.46231269836426,0.818091869354248,0.539770722389221,0.231503337621689,0.251343131065369
15,Belgium,Western Europe,2018,16,6.927,1.324,1.483,0.894,0.583,0.188,0.24
17,Belgium,Western Europe,2019,18,6.923,1.356,1.504,0.986,0.473,0.16,0.21
51,Belize,Latin America and Caribbean,2016,52,5.956,0.87616,0.68655,0.45569,0.51231,0.23684,0.10771
49,Belize,North America,2017,50,5.95599985122681,0.907975316047668,1.08141779899597,0.450191766023636,0.547509372234344,0.240015640854836,0.0965810716152191
48,Belize,North America,2018,49,5.956,0.807,1.101,0.474,0.593,0.183,0.089
154,Benin,Sub-Saharan Africa,2015,155,3.34,0.28665,0.35386,0.3191,0.4845,0.1826,0.0801
152,Benin,Sub-Saharan Africa,2016,153,3.484,0.39499,0.10419,0.21028,0.39747,0.2018,0.06681
142,Benin,Sub-Saharan Africa,2017,143,3.65700006484985,0.431085407733917,0.435299843549728,0.209930211305618,0.425962775945663,0.207948461174965,0.0609290152788162
135,Benin,Sub-Saharan Africa,2018,136,4.141,0.378,0.372,0.24,0.44,0.163,0.067
101,Benin,Sub-Saharan Africa,2019,102,4.883,0.393,0.437,0.397,0.349,0.175,0.082
78,Bhutan,Southern Asia,2015,79,5.253,0.77042,1.10395,0.57407,0.53206,0.47998,0.15445
83,Bhutan,Southern Asia,2016,84,5.196,0.8527,0.90836,0.49759,0.46074,0.48546,0.1616
96,Bhutan,Southern Asia,2017,97,5.01100015640259,0.885416388511658,1.34012651443481,0.495879292488098,0.501537680625916,0.474054545164108,0.173380389809608
96,Bhutan,Southern Asia,2018,97,5.082,0.796,1.335,0.527,0.541,0.364,0.171
94,Bhutan,Southern Asia,2019,95,5.082,0.813,1.321,0.604,0.457,0.37,0.167
50,Bolivia,Latin America and Caribbean,2015,51,5.89,0.68133,0.97841,0.5392,0.57414,0.20536,0.088
58,Bolivia,Latin America and Caribbean,2016,59,5.822,0.79422,0.83779,0.4697,0.50961,0.21698,0.07746
57,Bolivia,Latin America and Caribbean,2017,58,5.82299995422363,0.833756566047668,1.22761905193329,0.473630249500275,0.558732926845551,0.22556072473526,0.0604777261614799
61,Bolivia,Latin America and Caribbean,2018,62,5.752,0.751,1.223,0.508,0.606,0.141,0.054
60,Bolivia,Latin America and Caribbean,2019,61,5.779,0.776,1.209,0.706,0.511,0.137,0.064
95,Bosnia and Herzegovina,Central and Eastern Europe,2015,96,4.949,0.83223,0.91916,0.79081,0.09245,0.24808,0.00227
86,Bosnia and Herzegovina,Central and Eastern Europe,2016,87,5.163,0.93383,0.64367,0.70766,0.09511,0.29889,0.0
89,Bosnia and Herzegovina,Central and Eastern Europe,2017,90,5.18200016021729,0.982409417629242,1.0693359375,0.705186307430267,0.204403176903725,0.328867495059967,0.0
92,Bosnia and Herzegovina,Central and Eastern Europe,2018,93,5.129,0.915,1.078,0.758,0.28,0.216,0.0
77,Bosnia and Herzegovina,Central and Eastern Europe,2019,78,5.386,0.945,1.212,0.845,0.212,0.263,0.006
127,Botswana,Sub-Saharan Africa,2015,128,4.332,0.99355,1.10464,0.04776,0.49495,0.10461,0.12474
136,Botswana,Sub-Saharan Africa,2016,137,3.974,1.09426,0.89186,0.34752,0.44089,0.12425,0.10769
